company,company_clean,founded_year,country,city,industry,total_funding_usd,funding_rounds,valuation_usd,joined_date
Proterra,proterra,2004.0,United States,Burlingame,"Supply chain, logistics, & delivery",112000000.0,5,1050000000.0,2020-10-15
Qumulo,qumulo,2012.0,United States,Seattle,Data,26800000.0,2,1200000000.0,2020-07-16
Quora,quora,2009.0,United States,Mountain View,Internet,71000000.0,2,2000000000.0,2017-04-21
Reify Health,reifyhealth,2012.0,United States,Boston,Health,350000.0,2,2200000000.0,2021-08-10
Rokt,rokt,2012.0,United States,New York,Internet,8000000.0,1,1950000000.0,2021-12-16
SMS Assist,smsassist,2003.0,United States,Chicago,Internet,60000000.0,2,1000000000.0,2016-06-07
SafetyCulture,safetyculture,2004.0,Australia,Sydney,Internet,3000000.0,1,1600000000.0,2021-05-03
SalesLoft,salesloft,2011.0,United States,Atlanta,Internet,18000.0,2,1100000000.0,2021-01-06
Scopely,scopely,2011.0,United States,Culver City,Mobile & telecommunications,8500000.0,1,3300000000.0,2019-10-29
Sift,sift,2011.0,United States,San Francisco,Artificial intelligence,4666789.0,3,1000000000.0,2021-04-22
Signifyd,signifyd,2011.0,United States,San Jose,Fintech,2000000.0,1,1340000000.0,2021-04-15
Sisense,sisense,2004.0,United States,New York,Data,10000000.0,1,1100000000.0,2020-01-09
Slice,slice,2015.0,India,Bengaluru,Fintech,37425999.0,3,1000000000.0,2021-11-28
SmartAsset,smartasset,2012.0,United States,New York,Fintech,2400000.0,2,1000000000.0,2021-06-24
SmartRecruiters,smartrecruiters,2010.0,United States,San Francisco,Internet,15460000.0,2,1500000000.0,2021-07-20
SnapLogic,snaplogic,2006.0,United States,San Mateo,Internet,34800000.0,4,1000000000.0,2021-12-13
Snapdeal,snapdeal,2008.0,India,New Delhi,E-commerce & direct-to-consumer,202000000.0,4,1000000000.0,2014-05-21
Socure,socure,2012.0,United States,New York,Cybersecurity,1700000.0,1,4500000000.0,2021-03-16
SoundHound,soundhound,2005.0,United States,Santa Clara,Artificial intelligence,4000000.0,3,2100000000.0,2018-05-03
Splashtop,splashtop,2006.0,United States,San Jose,Internet,45500000.0,4,1000000000.0,2021-01-27
SpotOn,spoton,2017.0,United States,San Francisco,Fintech,5000000.0,1,3150000000.0,2021-05-26
Strava,strava,2009.0,United States,San Francisco,Internet,16100000.0,2,1500000000.0,2020-11-16
Stripe,stripe,2010.0,United States,San Francisco,Fintech,40000000.0,4,95000000000.0,2014-01-23
SumUp,sumup,2011.0,United Kingdom,London,Fintech,20000000.0,2,1000000000.0,2019-07-16
Symphony,symphony,2014.0,United States,New York,Fintech,750000.0,4,1400000000.0,2017-05-16
TalkingData,talkingdata,2013.0,China,Beijing,Mobile & telecommunications,10000000.0,1,1300000000.0,2021-01-06
Tanium,tanium,2007.0,United States,Kirkland,Cybersecurity,812497.0,1,9000000000.0,2015-03-31
Tarana Wireless,taranawireless,2009.0,United States,Milpitas,Mobile & telecommunications,14142157.0,2,1000000000.0,2022-03-23
Tealium,tealium,2008.0,United States,San Diego,Internet,27200000.0,3,1200000000.0,2021-02-03
The Zebra,thezebra,2012.0,United States,Austin,E-commerce & direct-to-consumer,4500063.0,2,1000000000.0,2021-04-12
Thumbtack,thumbtack,2008.0,United States,San Francisco,E-commerce & direct-to-consumer,18200000.0,3,3200000000.0,2015-09-29
Tradeshift,tradeshift,2009.0,United States,San Francisco,Fintech,24000000.0,2,2700000000.0,2018-05-30
TradingView,tradingview,2011.0,United States,Westerville,Fintech,118000.0,1,3000000000.0,2021-10-14
Tresata,tresata,2011.0,United States,Charlotte,Fintech,1250000.0,2,1000000000.0,2018-10-10
Trulioo,trulioo,2011.0,Canada,Vancouver,Cybersecurity,2300000.0,2,1750000000.0,2021-06-07
Unite Us,uniteus,2014.0,United States,New York,Health,2000000.0,1,1700000000.0,2021-03-17
Uptake,uptake,2014.0,United States,Chicago,Artificial intelligence,14000000.0,3,2300000000.0,2015-10-27
Vedantu,vedantu,2014.0,India,Bengaluru,Edtech,400000.0,1,1000000000.0,2021-09-29
Venafi,venafi,2000.0,United States,Salt Lake City,Cybersecurity,16000000.0,2,1150000000.0,2020-12-10
Vestiaire Collective,vestiairecollective,2009.0,France,Paris,E-commerce & direct-to-consumer,31725050.0,3,1700000000.0,2021-03-01
Visier,visier,2010.0,Canada,Vancouver,Internet,21000000.0,2,1000000000.0,2021-06-29
Vox Media,voxmedia,2011.0,United States,Washington,Internet,61132220.0,6,1000000000.0,2015-08-12
Wave,wave,2018.0,Senegal,Dakar,Fintech,1400000.0,1,2000000000.0,2021-09-07
WeLab,welab,2013.0,Hong Kong,Fintech,Other,0.0,1,1000000000.0,2017-11-08
Webflow,webflow,2012.0,United States,San Francisco,Internet,0.0,2,2100000000.0,2021-01-13
Yotpo,yotpo,2011.0,United States,New York,Internet,2300000.0,2,1400000000.0,2021-03-18
Zapier,zapier,2011.0,United States,Sunnyvale,Internet,1200000.0,2,4000000000.0,2021-01-14
Zenefits,zenefits,2013.0,United States,San Francisco,Fintech,2100000.0,1,4500000000.0,2015-05-06
ZocDoc,zocdoc,2007.0,United States,New York,Health,97000000.0,4,1800000000.0,2015-08-20
Zopa,zopa,2005.0,United Kingdom,London,Fintech,33900000.0,5,1000000000.0,2021-10-19
eSentire,esentire,2001.0,Canada,Waterloo,Cybersecurity,7000000.0,1,1100000000.0,2022-02-22
ezCater,ezcater,2007.0,United States,Boston,"Supply chain, logistics, & delivery",2790000.0,2,1600000000.0,2019-04-02
iCapital Network,icapitalnetwork,2013.0,United States,New York,Fintech,4000000.0,1,6000000000.0,2021-07-27
iFood,ifood,2011.0,Brazil,Osasco,"Supply chain, logistics, & delivery",4160000.0,2,1000000000.0,2018-11-13
o9 Solutions,o9solutions,2009.0,United States,Dallas,Artificial intelligence,6000000.0,2,2700000000.0,2020-04-28
reddit,reddit,2005.0,United States,San Francisco,Internet,100000.0,1,10000000000.0,2017-07-31
