company,company_clean,founded_year,country,city,industry,total_funding_usd,funding_rounds,valuation_usd,joined_date
Arctic Wolf Networks,arcticwolfnetworks,2012.0,United States,Eden Prairie,Cybersecurity,7250000.0,1,4300000000.0,2020-10-22
Argo AI,argoai,2016.0,United States,Pittsburgh,Artificial intelligence,0.0,0,12000000000.0,2019-07-12
Arrail Dental,arraildental,1999.0,China,Beijing,Health,0.0,0,1050000000.0,2021-04-13
Articulate,articulate,2015.0,United States,New York,Edtech,0.0,0,3750000000.0,2021-07-01
Ascend Money,ascendmoney,2013.0,Thailand,Bangkok,Fintech,0.0,0,1500000000.0,2021-09-27
Assembly,assembly,2019.0,United States,Culver City,Internet,0.0,1,1000000000.0,2021-09-21
Assent,assent,2010.0,Canada,Ottawa,"Supply chain, logistics, & delivery",0.0,0,1000000000.0,2022-01-06
Assent Compliance,assentcompliance,2005.0,Canada,Ottawa,"Supply chain, logistics, & delivery",0.0,0,1000000000.0,2022-01-06
Astranis Space Technologies,astranisspacetechnologies,2015.0,United States,San Francisco,Mobile & telecommunications,0.0,0,1400000000.0,2021-04-14
At-Bay,atbay,2016.0,United States,Mountain View,Fintech,0.0,0,1350000000.0,2021-07-27
Athelas,athelas,2016.0,United States,Mountain View,Health,0.0,0,1500000000.0,2022-01-31
Athletic Greens,athleticgreens,2010.0,United States,New York,Health,0.0,0,1320000000.0,2022-01-25
Attentive,attentive,2016.0,United States,Hoboken,Mobile & telecommunications,0.0,0,5990000000.0,2020-09-23
Augury,augury,2011.0,United States,New York,Artificial intelligence,0.0,0,1000000000.0,2021-10-26
Aura,aura,2019.0,United States,Burlington,Cybersecurity,0.0,0,2500000000.0,2021-06-09
Aurora Solar,aurorasolar,2013.0,United States,San Francisco,Internet,0.0,0,4000000000.0,2021-05-24
Automation Anywhere,automationanywhere,2003.0,United States,San Jose,Artificial intelligence,0.0,0,6800000000.0,2018-07-02
Automattic,automattic,2005.0,United States,San Francisco,Internet,30600000.0,2,1800000000.0,2013-05-27
Avant,avant,1973.0,United States,Chicago,Artificial intelligence,0.0,0,2000000000.0,2012-12-17
Aviatrix,aviatrix,2014.0,United States,Santa Clara,Internet,0.0,0,2000000000.0,2021-09-08
Away,away,2015.0,United States,New York,E-commerce & direct-to-consumer,0.0,0,1400000000.0,2019-05-15
Axelar,axelar,2020.0,Canada,Waterloo,Internet,0.0,0,1000000000.0,2022-02-15
Axiom Space,axiomspace,2016.0,United States,Houston,Other,0.0,0,1000000000.0,2021-02-16
Axonius,axonius,2017.0,United States,New York,Cybersecurity,0.0,0,1200000000.0,2021-03-01
Axtria,axtria,2009.0,United States,Berkeley Heights,Data,2500000.0,1,1000000000.0,2021-05-13
BGL Group,bglgroup,1992.0,United Kingdom,Peterborough,Fintech,0.0,0,3000000000.0,2017-11-24
BYJU's,byjus,2008.0,India,Bengaluru,Edtech,0.0,0,21000000000.0,2017-07-25
BYTON,byton,2016.0,China,Nanjing,Auto & transportation,0.0,0,2500000000.0,2018-04-20
Back Market,backmarket,2014.0,France,Paris,E-commerce & direct-to-consumer,0.0,0,5700000000.0,2021-05-18
Baiwang,baiwang,2015.0,China,Beijing,Fintech,0.0,0,1550000000.0,2019-03-25
Banma Network Technologies,banmanetworktechnologies,2015.0,China,Shanghai,Auto & transportation,0.0,0,1000000000.0,2018-09-13
BeiBei,beibei,2011.0,China,Hangzhou,E-commerce & direct-to-consumer,0.0,0,1000000000.0,2015-01-22
Beisen,beisen,2002.0,China,Beijing,Internet,0.0,0,2000000000.0,2021-05-11
Benchling,benchling,2012.0,United States,San Francisco,Internet,0.0,0,6100000000.0,2021-04-14
BenevolentAI,benevolentai,2013.0,United Kingdom,London,Artificial intelligence,0.0,0,1000000000.0,2015-06-02
Berlin Brands Group,berlinbrandsgroup,2005.0,Germany,Berlin,E-commerce & direct-to-consumer,0.0,0,1000000000.0,2021-09-01
Better.com,bettercom,2018.0,United States,New York,Fintech,0.0,0,6000000000.0,2020-11-10
BetterUp,betterup,2013.0,United States,San Francisco,Internet,0.0,0,4700000000.0,2021-02-25
Betterfly,betterfly,2018.0,Chile,Santiago,Artificial intelligence,2500000.0,3,1000000000.0,2022-02-01
Betterment,betterment,2010.0,United States,New York,Fintech,13000000.0,2,1300000000.0,2021-09-29
Beyond Identity,beyondidentity,2019.0,United States,New York,Cybersecurity,0.0,0,1100000000.0,2022-02-22
BharatPe,bharatpe,2018.0,India,New Delhi,Fintech,0.0,0,2850000000.0,2021-07-30
BigID,bigid,2015.0,United States,New York,Cybersecurity,0.0,0,1250000000.0,2020-12-16
BigPanda,bigpanda,2012.0,United States,Mountain View,Artificial intelligence,0.0,0,1200000000.0,2022-01-12
Biosplice Therapeutics,biosplicetherapeutics,2008.0,United States,San Diego,Health,0.0,0,12000000000.0,2018-08-06
Biren Technology,birentechnology,2019.0,China,Shanghai,Hardware,0.0,0,2320000000.0,2020-08-18
BitFury,bitfury,2011.0,Netherlands,Amsterdam,Hardware,0.0,0,1000000000.0,2018-11-06
BitPanda,bitpanda,2014.0,Austria,Vienna,Fintech,0.0,0,4110000000.0000005,2021-03-16
BitSight Technologies,bitsighttechnologies,2013.0,United States,Boston,Cybersecurity,25035000.0,2,2400000000.0,2021-09-13
Bitmain,bitmain,2015.0,China,Beijing,Hardware,0.0,0,12000000000.0,2018-07-06
Bitmain Technologies,bitmaintechnologies,2015.0,China,Beijing,Hardware,0.0,0,12000000000.0,2018-07-06
Bitso,bitso,2014.0,Mexico,Mexico City,Fintech,0.0,0,2200000000.0,2021-05-05
BlaBlaCar,blablacar,2006.0,France,Paris,Auto & transportation,10000000.0,1,2000000000.0,2015-09-16
Black Sesame Technologies,blacksesametechnologies,2016.0,China,Shanghai,Artificial intelligence,0.0,0,2000000000.0,2021-09-22
Black Unicorn Factory,blackunicornfactory,2020.0,United States,Los Angeles,Other,0.0,0,6100000000.0,2021-05-20
BlackBuck,blackbuck,2015.0,India,Bengaluru,"Supply chain, logistics, & delivery",0.0,0,1000000000.0,2021-07-22
Blinkit,blinkit,2013.0,India,Gurgaon,"Supply chain, logistics, & delivery",0.0,0,1010000000.0,2021-06-30
BlockDaemon,blockdaemon,2016.0,United States,Los Angeles,Fintech,0.0,0,3250000000.0,2021-09-21
BlockFi,blockfi,2017.0,United States,Jersey City,Fintech,0.0,0,3000000000.0,2021-03-11
Blockchain.com,blockchaincom,2011.0,United Kingdom,London,Fintech,0.0,0,5200000000.0,2021-02-17
Blockstream,blockstream,2014.0,Canada,Vancouver,Fintech,0.0,0,3200000000.0,2021-08-24
BloomReach,bloomreach,2009.0,United States,Mountain View,Artificial intelligence,41000000.0,3,2200000000.0,2022-02-23
BlueVoyant,bluevoyant,2017.0,United States,New York,Cybersecurity,0.0,0,1000000000.0,2022-02-23
Bluecore,bluecore,2013.0,United States,New York,Artificial intelligence,0.0,0,1000000000.0,2021-08-05
Boba,boba,2018.0,United States,San Francisco,Fintech,0.0,0,2000000000.0,2022-04-05
Bolt,bolt,2014.0,United States,San Francisco,Fintech,5016000.0,2,11000000000.0,2021-10-08
Boom Supersonic,boomsupersonic,2014.0,United States,Englewood,Other,0.0,0,1000000000.0,2020-12-16
Bordrin Motors,bordrinmotors,2016.0,China,Shanghai,Auto & transportation,0.0,0,1480000000.0,2019-06-03
Bought By Many,boughtbymany,2012.0,United Kingdom,London,Fintech,0.0,0,2350000000.0,2021-06-01
Bowery Farming,boweryfarming,2015.0,United States,New York,Other,0.0,0,2300000000.0,2021-05-25
Branch,branch,2014.0,United States,Redwood City,Mobile & telecommunications,2000000.0,1,4000000000.0,2018-09-10
BrewDog,brewdog,2007.0,United Kingdom,Aberdeen,Consumer & retail,4545754.0,1,1240000000.0,2017-04-10
Brex,brex,2017.0,United States,San Francisco,Fintech,0.0,0,12300000000.0,2018-10-05
Bringg,bringg,2013.0,Israel,Tel Aviv,"Supply chain, logistics, & delivery",0.0,0,1000000000.0,2021-06-16
BrowserStack,browserstack,2011.0,Ireland,Dublin,Internet,0.0,0,4000000000.0,2021-06-16
Built,built,2015.0,United States,Nashville,Internet,0.0,0,1500000000.0,2021-09-30
Bunq,bunq,2013.0,Netherlands,Amsterdam,Fintech,0.0,0,2000000000.0,2021-06-18
Bytedance,bytedance,2012.0,China,Beijing,Artificial intelligence,0.0,0,140000000000.0,2017-04-07
C2FO,c2fo,2008.0,United States,Leawood,Fintech,27100000.0,2,1000000000.0,2019-08-07
C6 Bank,c6bank,2018.0,Brazil,Sao Paulo,Fintech,0.0,0,5000000000.0,2020-12-02
CAIS,cais,2009.0,United States,New York,Fintech,4000000.0,1,1000000000.0,2022-01-11
CFGI,cfgi,2000.0,United States,Boston,Fintech,0.0,0,1850000000.0,2021-09-15
CHEQ,cheq,2014.0,United States,New York,Cybersecurity,0.0,0,1000000000.0,2022-02-22
CMR Surgical,cmrsurgical,2014.0,United Kingdom,Cambridge,Health,0.0,0,3000000000.0,2019-09-17
CRED,cred,2018.0,India,Bengaluru,Fintech,0.0,0,7000000000.0,2021-04-06
Cabify,cabify,2011.0,Spain,Madrid,Auto & transportation,1964250.0,1,1400000000.0,2018-01-22
Cadence,cadence,2020.0,United States,New York,Health,0.0,0,1000000000.0,2021-12-14
Calendly,calendly,2013.0,United States,Atlanta,Internet,0.0,0,3000000000.0,2021-01-26
Calm,calm,2012.0,United States,San Francisco,Consumer & retail,415000.0,1,2000000000.0,2019-02-06
Cambridge Mobile Telematics,cambridgemobiletelematics,2010.0,United States,Cambridge,Mobile & telecommunications,0.0,0,1500000000.0,2018-12-19
Cameo,cameo,2016.0,United States,Chicago,Internet,0.0,0,1000000000.0,2021-03-30
Canva,canva,2012.0,Australia,Surry Hills,Internet,3105000.0,2,40000000000.0,2018-01-08
Cao Cao Mobility,caocaomobility,2015.0,China,Hangzhou,Auto & transportation,0.0,0,1600000000.0,2018-01-17
Capitolis,capitolis,2017.0,United States,New York,Fintech,0.0,0,2000000000.0,2022-03-22
Capsule,capsule,2016.0,United States,New York,Health,0.0,0,1000000000.0,2021-04-28
CaptivateIQ,captivateiq,2014.0,United States,San Francisco,Fintech,0.0,0,1250000000.0,2022-01-26
CarDekho,cardekho,2008.0,India,Jaipur,E-commerce & direct-to-consumer,0.0,0,1200000000.0,2021-10-13
Carbon,carbon,2013.0,United States,Redwood City,Hardware,0.0,0,2400000000.0,2015-08-20
Carbon Health,carbonhealth,2015.0,United States,San Francisco,Health,0.0,0,3000000000.0,2021-07-21
CargoX,cargox,2015.0,Brazil,Sao Paulo,"Supply chain, logistics, & delivery",0.0,0,1000000000.0,2021-10-21
Caris Life Sciences,carislifesciences,1996.0,United States,Irving,Health,0.0,0,7830000000.0,2021-05-17
Carousell,carousell,2012.0,Singapore,E-commerce & direct-to-consumer,Other,800000.0,1,1100000000.0,2021-09-15
Carro,carro,2015.0,Singapore,E-commerce & direct-to-consumer,Other,0.0,0,1000000000.0,2021-06-14
Cars24,cars24,2015.0,India,Gurgaon,E-commerce & direct-to-consumer,0.0,0,3300000000.0,2020-11-24
Carsome,carsome,2015.0,Malaysia,Selangor,E-commerce & direct-to-consumer,0.0,0,1700000000.0,2021-07-12
Carson Group,carsongroup,2012.0,United States,Lincoln,Fintech,0.0,0,1000000000.0,2021-07-14
Carta,carta,2012.0,United States,San Francisco,Fintech,0.0,0,7400000000.0,2019-05-06
Carzone,carzone,1995.0,China,Jiangsu,E-commerce & direct-to-consumer,0.0,0,2000000000.0,2019-03-01
Cato Networks,catonetworks,2015.0,Israel,Tel Aviv,Cybersecurity,0.0,0,2500000000.0,2020-11-17
Cava Group,cavagroup,2010.0,United States,Washington,Other,0.0,0,1300000000.0,2021-04-27
Cedar,cedar,2016.0,United States,New York,Fintech,0.0,0,3200000000.0,2021-03-09
Cell C,cellc,2000.0,South Africa,Midrand,Mobile & telecommunications,0.0,0,1000000000.0,2017-08-07
Celonis,celonis,2011.0,Germany,Munich,Data,0.0,0,11000000000.0,2018-06-26
Celsius Network,celsiusnetwork,2017.0,United States,Hoboken,Fintech,0.0,0,3500000000.0,2021-10-12
Cerebral,cerebral,2020.0,United States,San Francisco,Health,0.0,0,4800000000.0,2021-06-10
Cerebras Systems,cerebrassystems,2016.0,United States,Los Altos,Hardware,0.0,0,4000000000.0,2018-11-14
Cgtz,cgtz,2014.0,China,Hangzhou,Fintech,0.0,0,2410000000.0,2017-02-21
Chainalysis,chainalysis,2014.0,United States,New York,Fintech,0.0,0,4200000000.0,2020-11-23
Changingedu,changingedu,2014.0,China,Shanghai,Edtech,0.0,0,2000000000.0,2017-10-30
ChargeBee Technologies,chargebeetechnologies,2011.0,United States,Walnut,Fintech,0.0,0,3500000000.0,2021-04-20
Checkout.com,checkoutcom,2012.0,United Kingdom,London,Fintech,0.0,0,40000000000.0,2019-05-02
Checkr,checkr,2014.0,United States,San Francisco,Internet,0.0,0,4600000000.0,2019-09-19
Chehaoduo,chehaoduo,2015.0,China,Beijing,E-commerce & direct-to-consumer,0.0,0,9000000000.0,2016-03-12
Chief,chief,2019.0,United States,New York,Other,0.0,0,1000000000.0,2022-03-31
Chime,chime,2013.0,United States,San Francisco,Fintech,0.0,0,25000000000.0,2019-03-05
China Cloud,chinacloud,2010.0,China,Wuxi,Hardware,0.0,0,1000000000.0,2018-06-11
Chipone,chipone,2008.0,China,Beijing,Hardware,0.0,0,5000000000.0,2021-12-16
Chipper Cash,chippercash,2017.0,United States,San Francisco,Fintech,0.0,0,2000000000.0,2021-06-01
Chronosphere,chronosphere,2019.0,United States,New York,Data,0.0,0,1000000000.0,2021-10-07
Cider,cider,2020.0,Hong Kong,E-commerce & direct-to-consumer,Other,0.0,0,1000000000.0,2021-09-02
Circle,circle,2013.0,United States,Boston,Fintech,6000000.0,4,3000000000.0,2018-05-15
CircleCI,circleci,2011.0,United States,San Francisco,Internet,1500000.0,1,1700000000.0,2021-05-11
Cityblock Health,cityblockhealth,2017.0,United States,Brooklyn,Health,0.0,0,5700000000.0,2020-12-10
Clara,clara,2020.0,Mexico,Mexico City,Fintech,0.0,0,1000000000.0,2021-12-06
Clari,clari,2012.0,United States,Sunnyvale,Internet,0.0,0,2600000000.0,2021-03-03
Clarify Health,clarifyhealth,2015.0,United States,San Francisco,Health,0.0,0,1000000000.0,2022-04-05
Claroty,claroty,2015.0,United States,New York,Cybersecurity,0.0,0,1000000000.0,2021-06-17
Clearco,clearco,2015.0,Canada,Toronto,Fintech,0.0,0,2000000000.0,2021-04-20
Clearcover,clearcover,2016.0,United States,Chicago,Fintech,0.0,0,1000000000.0,2021-04-13
ClickHouse,clickhouse,2021.0,United States,Portola Valley,Data,0.0,0,2000000000.0,2021-10-28
ClickUp,clickup,2017.0,United States,San Diego,Internet,0.0,0,4000000000.0,2020-12-15
Clio,clio,2008.0,Canada,Burnaby,Internet,6000000.0,1,1600000000.0,2021-04-27
Clip,clip,2012.0,Mexico,Mexico City,Fintech,0.0,1,2000000000.0,2021-06-10
CloudBees,cloudbees,2010.0,United States,San Jose,Data,16500000.0,3,1150000000.0,2021-12-09
CloudWalk Technology,cloudwalktechnology,2015.0,China,Guangzhou,Artificial intelligence,0.0,0,5000000000.0,2018-10-08
Cloudinary,cloudinary,2011.0,United States,Santa Clara,Internet,0.0,0,2000000000.0,2022-02-15
Cloudwalk,cloudwalk,2015.0,China,Guangzhou,Artificial intelligence,0.0,0,3320000000.0,2018-10-08
Clubhouse,clubhouse,2020.0,United States,San Francisco,Mobile & telecommunications,0.0,0,4000000000.0,2021-01-24
Coalition,coalition,2017.0,United States,San Francisco,Cybersecurity,0.0,0,3500000000.0,2021-03-16
Cockroach Labs,cockroachlabs,2015.0,United States,New York,Data,0.0,0,5000000000.0,2021-01-12
Coda,coda,2014.0,United States,Mountain View,Internet,0.0,0,1000000000.0,2021-07-08
Cognite,cognite,2016.0,Norway,Lysaker,Data,0.0,0,1500000000.0,2021-05-19
Cohesity,cohesity,2013.0,United States,San Jose,Data,0.0,0,3700000000.0,2018-06-11
CoinDCX,coindcx,2017.0,India,Maharashtra,Fintech,0.0,0,1100000000.0,2021-08-10
CoinList,coinlist,2017.0,United States,San Francisco,Fintech,0.0,0,1500000000.0,2021-10-15
CoinSwitch Kuber,coinswitchkuber,2017.0,India,Bangalore,Fintech,0.0,0,1900000000.0,2021-10-06
CoinTracker,cointracker,2017.0,United States,San Francisco,Fintech,0.0,0,1300000000.0,2022-01-27
Collective Health,collectivehealth,2013.0,United States,San Francisco,Fintech,0.0,0,1500000000.0,2019-06-17
Collibra,collibra,2008.0,Belgium,Brussels,Data,1251285.0,1,5250000000.0,2019-01-29
Color,color,2013.0,United States,Burlingame,Health,0.0,0,4600000000.0,2021-01-04
CommerceIQ,commerceiq,2012.0,United States,Palo Alto,Other,0.0,0,1000000000.0,2022-03-21
Commure,commure,2017.0,United States,San Francisco,Internet,0.0,0,3500000000.0,2021-09-13
ConcertAI,concertai,2018.0,United States,Boston,Other,0.0,0,2000000000.0,2022-03-29
ConsenSys,consensys,2014.0,United States,New York,Fintech,0.0,0,3200000000.0,2021-11-17
ContentSquare,contentsquare,2012.0,France,Paris,Internet,0.0,0,2800000000.0,2021-05-25
Contentful,contentful,2013.0,Germany,Berlin,Internet,0.0,2,3000000000.0,2021-07-28
Contrast Security,contrastsecurity,2014.0,United States,Los Altos,Cybersecurity,0.0,0,1000000000.0,2021-11-09
Convoy,convoy,2015.0,United States,Seattle,"Supply chain, logistics, & delivery",0.0,0,2750000000.0,2018-09-21
Coocaa,coocaa,2006.0,China,Shenzhen,Hardware,0.0,0,1450000000.0,2018-03-16
Copado,copado,2013.0,United States,Chicago,Data,0.0,0,1200000000.0,2021-09-13
Course Hero,coursehero,2006.0,United States,Redwood City,Edtech,2383000.0,2,3600000000.0,2020-02-12
CredAvenue,credavenue,2017.0,India,Chennai,Fintech,0.0,0,1000000000.0,2022-03-07
Creditas,creditas,2012.0,Brazil,Sao Paulo,Fintech,0.0,0,4800000000.0,2020-12-18
Cresta,cresta,2017.0,United States,San Francisco,Other,0.0,0,2000000000.0,2022-03-17
Cross River Bank,crossriverbank,2008.0,United States,Fort Lee,Fintech,0.0,0,3000000000.0,2022-02-11
Culture Amp,cultureamp,2011.0,Australia,Richmond,Internet,0.0,0,1500000000.0,2021-07-29
CureFit,curefit,2016.0,India,Bengaluru,Health,0.0,0,1500000000.0,2021-11-10
Current,current,2015.0,United States,New York,Fintech,13000000.0,1,2200000000.0,2021-04-27
Cybereason,cybereason,2012.0,United States,Boston,Cybersecurity,4620000.0,1,2440000000.0,2019-08-06
DJI Innovations,djiinnovations,2006.0,China,Shenzhen,Hardware,0.0,0,15000000000.0,2015-01-23
DT Dream,dtdream,2015.0,China,Hangzhou,Data,0.0,0,1500000000.0,2017-06-08
Dadi Cinema,dadicinema,2006.0,China,Shenzhen,Other,0.0,0,3240000000.0,2016-05-11
Daily Harvest,dailyharvest,2014.0,United States,New York,E-commerce & direct-to-consumer,0.0,0,1100000000.0,2021-11-16
DailyHunt,dailyhunt,2007.0,India,Bengaluru,Internet,0.0,0,3100000000.0,2020-12-22
DailyPay,dailypay,2016.0,United States,New York,Fintech,0.0,0,1200000000.0,2021-05-18
Dapper Labs,dapperlabs,2018.0,Canada,Vancouver,Fintech,0.0,0,7600000000.0,2021-03-30
Darwinbox,darwinbox,2015.0,India,Hyderabad,Internet,0.0,0,1000000000.0,2022-01-25
DataRobot,datarobot,2012.0,United States,Boston,Artificial intelligence,3300000.0,2,6300000000.0,2019-07-29
Databricks,databricks,2013.0,United States,San Francisco,Data,14000000.0,1,38000000000.0,2019-02-05
Dataiku,dataiku,2013.0,United States,New York,Internet,0.0,0,4600000000.0,2019-12-04
Dataminr,dataminr,2009.0,United States,New York,Artificial intelligence,47586000.0,3,4099999999.9999995,2018-06-04
DealShare,dealshare,2018.0,India,Bengaluru,E-commerce & direct-to-consumer,0.0,0,1700000000.0,2022-01-27
Deel,deel,2018.0,United States,San Francisco,Fintech,0.0,0,5500000000.0,2021-04-21
DeepBlue Technology,deepbluetechnology,2014.0,China,Shanghai,Artificial intelligence,0.0,0,1350000000.0,2018-04-16
Deezer,deezer,2007.0,France,Paris,Internet,149300000.0,3,1400000000.0,2018-08-02
Degreed,degreed,2012.0,United States,Pleasanton,Edtech,900000.0,1,1400000000.0,2021-04-13
Delhivery,delhivery,2011.0,India,Gurgaon,"Supply chain, logistics, & delivery",0.0,0,3000000000.0,2019-02-27
Deliverect,deliverect,2018.0,Belgium,Ghent,Fintech,0.0,0,1400000000.0,2022-01-24
Deliverr,deliverr,2017.0,United States,San Francisco,"Supply chain, logistics, & delivery",0.0,0,2000000000.0,2021-11-22
Density,density,2014.0,United States,San Francisco,Hardware,0.0,0,1050000000.0,2021-11-10
Dental Monitoring,dentalmonitoring,2014.0,France,Paris,Health,0.0,0,1000000000.0,2021-10-21
Devo,devo,2011.0,United States,Cambridge,Data,0.0,0,1500000000.0,2021-10-26
Devoted Health,devotedhealth,2017.0,United States,Waltham,Health,0.0,0,12600000000.0,2018-10-16
Dialpad,dialpad,2011.0,United States,San Francisco,Internet,0.0,0,2200000000.0,2020-10-06
Diamond Foundry,diamondfoundry,2012.0,United States,San Francisco,Other,0.0,0,1800000000.0,2021-03-29
DianRong,dianrong,2012.0,China,Shanghai,E-commerce & direct-to-consumer,0.0,0,1000000000.0,2017-08-02
Digit Insurance,digitinsurance,2016.0,India,Bengaluru,Fintech,0.0,0,3500000000.0,2021-01-15
Digital Currency Group,digitalcurrencygroup,2018.0,United States,New York,Other,0.0,0,10000000000.0,2021-11-01
Discord,discord,2012.0,United States,San Francisco,Internet,0.0,0,7000000000.0,2018-04-20
